DOF            moh-xF-1.5      moh-xF-1.6      moh-xF-1.7      moh-xF-1.8      moh-xF-1.9   
1               6.859413E-07    5.891690E-06    1.251217E-05    1.841742E-05    2.298093E-05
2               3.084896E-06    1.970933E-05    3.936407E-05    5.760084E-05    7.261075E-05
3               3.088310E-06    1.971910E-05    3.937898E-05    5.761983E-05    7.263284E-05
4               1.533001E-03    1.329703E-02    3.666153E-02    7.162650E-02    1.181919E-01
5               1.604713E-06    1.297391E-05    2.934378E-05    4.643450E-05    6.184222E-05
6               9.963546E-06    7.781394E-05    1.919670E-04    3.339346E-04    4.891337E-04
7               9.939585E-06    7.774726E-05    1.918631E-04    3.338026E-04    4.889817E-04
8               1.847234E-05    1.661742E-04    4.361536E-04    8.134965E-04    1.287109E-03
9               1.284287E-05    9.943655E-05    2.373667E-04    3.997604E-04    5.702113E-04
10              2.243504E-05    1.826048E-04    4.817684E-04    8.972477E-04    1.413728E-03
11              2.243664E-05    1.826065E-04    4.817721E-04    8.972638E-04    1.413724E-03
12              6.292355E-05    4.916520E-04    1.180025E-03    1.991068E-03    2.854578E-03
13              5.183279E-09    5.191073E-09    4.879107E-09    5.265404E-09    5.439569E-09
14              5.490283E-10    2.631119E-08    1.469602E-07    3.875533E-07    7.471830E-07
15              2.933574E-08    9.620552E-08    2.773400E-07    5.953372E-07    1.032328E-06
