DOF          moh-xF-1.5  moh-xF-1.6  moh-xF-1.7  moh-xF-1.8  moh-xF-1.9 
1            -0.00367506 -0.01077053 -0.01569605 -0.01904332 -0.02127183
2            -0.00802758 -0.02029054 -0.02867516 -0.03468709 -0.03894540
3            -0.00803154 -0.02029451 -0.02867916 -0.03469123 -0.03894939
4             0.18358895  0.54069541  0.89780193  1.25490837  1.61201488
5             0.00471815  0.01341554  0.02017581  0.02538010  0.02928970
 6            0.93045195  2.60024863  4.08412796  5.38661917  6.51928110
 7            0.92931978  2.59909470  4.08296199  5.38547497  6.51816383
 8           -0.91582262 -2.74682785 -4.45009215 -6.07752433 -7.64462808
 9            1.05074558  2.92373717  4.51726286  5.86226810  7.00137122
 10          -1.01611830 -2.89893268 -4.70869665 -6.42596002 -8.06611588
 11          -1.01616128 -2.89896018 -4.70873905 -6.42604998 -8.06614338
 12          -1.54839266 -4.32815470 -6.70531935 -8.70997720-10.42904998
 13           0.03635000  0.03638438 -0.03526326  0.03664335  0.03723923
 14           0.01130331  0.07825801  0.18494161  0.30033302  0.41701301
 15          -0.08261880 -0.14961532 -0.25403058 -0.37218422 -0.49009836
